corp_code,year,account,cand_nm,cand_id,cand_value,is_pick
00617998,2019,영업이익,계속영업이익(손실),ifrs_ProfitLossFromContinuingOperations,1289957744,0
00617998,2019,영업이익,중단영업이익(손실),ifrs_ProfitLossFromDiscontinuedOperations,25000000,0
00617998,2019,재고자산,재고자산,ifrs_Inventories,3348636065,1
00617998,2019,매출채권,매출채권,dart_ShortTermTradeReceivable,16645334608,1
00572905,2019,매출액,매출액,ifrs_Revenue,101879554015,1
00572905,2019,매출원가,매출원가,ifrs_CostOfSales,71345647932,1
00572905,2019,매출총이익,매출총이익,ifrs_GrossProfit,30533906083,1
00572905,2019,영업이익,영업이익,dart_OperatingIncomeLoss,13108189842,1
00572905,2019,재고자산,재고자산,ifrs_Inventories,7743811940,1
00572905,2019,매출채권,매출채권 및 상각후원가측정금융자산(유동),ifrs_TradeAndOtherCurrentReceivables,23198340686,0
00497631,2022,매출액,매출액,ifrs-full_Revenue,189544183775,1
00497631,2022,매출원가,매출원가,ifrs-full_CostOfSales,166513155036,1
00497631,2022,매출총이익,매출총이익,ifrs-full_GrossProfit,23031028739,1
00497631,2022,영업이익,영업이익(손실),dart_OperatingIncomeLoss,16821458054,1
00497631,2022,재고자산,재고자산,ifrs-full_Inventories,33203971546,1
00497631,2022,매출채권,매출채권 및 기타채권,ifrs-full_TradeAndOtherCurrentReceivables,45306221637,1
00108241,2020,매출액,매출액,ifrs-full_Revenue,1905694049103,1
00108241,2020,매출액,총매출액,-표준계정코드 미사용-,2127569019480,0
00108241,2020,매출원가,매출원가,ifrs-full_CostOfSales,1409083926164,1
00108241,2020,매출총이익,매출총이익,ifrs-full_GrossProfit,496610122939,1
00108241,2020,영업이익,영업이익,dart_OperatingIncomeLoss,49347259096,1
00108241,2020,재고자산,재고자산,ifrs-full_Inventories,148859665370,1
00108241,2020,매출채권,매출채권,dart_ShortTermTradeReceivable,163835961062,1
01061558,2020,매출액,매출액,ifrs-full_Revenue,97873417668,1
01061558,2020,매출원가,매출원가,ifrs-full_CostOfSales,64608288589,1
01061558,2020,매출총이익,매출총이익,ifrs-full_GrossProfit,33265129079,1
01061558,2020,영업이익,영업이익,dart_OperatingIncomeLoss,20761496950,1
01061558,2020,재고자산,재고자산,ifrs-full_Inventories,23211884389,1
01061558,2020,매출채권,매출채권,dart_ShortTermTradeReceivable,10698174309,1
01061558,2020,매출채권,기타유동수취채권,ifrs-full_TradeAndOtherCurrentReceivables,276336277,0
00557933,2019,매출액,매출액,ifrs_Revenue,120062514171,1
00557933,2019,매출원가,매출원가,ifrs_CostOfSales,66878834067,1
00557933,2019,매출총이익,매출총이익,ifrs_GrossProfit,53183680104,1
00557933,2019,영업이익,영업이익(손실),dart_OperatingIncomeLoss,7342620335,1
00557933,2019,재고자산,재고자산,ifrs_Inventories,73195611134,1
